id,school,unit,description,participating,operating_weeks,degree,credit,year_began,url,location,lng,lat,connections,connections_notes,image_url,comment
BL1,Bread Loaf School of English,Master of Arts,The Middlebury Bread Loaf School of English is a summer graduate school that brings together more than 425 students at our three campuses each summer.,425,8,yes,yes,1999,http://www.middlebury.edu/blse,"Bread Loaf, Vermont
",43.9817,-73.0156,,,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Bread%20Loaf/BLSE%20MA%20ML.jpg,
BL2,Bread Loaf School of English,Master of Letters,The Middlebury Bread Loaf School of English is a summer graduate school that brings together more than 425 students at our three campuses each summer.,425,8,yes,yes,1999,http://www.middlebury.edu/blse,"Bread Loaf, Vermont
",43.9817,-73.0156,,,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Bread%20Loaf/BLSE%20MA%20ML.jpg,
BL3,Bread Loaf School of English,Bread Loaf Ripton,"The central location for the Bread Loaf School of English is the Ripton campus, in sight of Bread Loaf Mountain in the Green Mountains of Vermont. Students take courses in creative writing, the teaching of writing, and theater arts, as well as in British, American, and world literature.",250,6,yes,yes,1950,http://www.middlebury.edu/blse/campuses/vt,"Bread Loaf, Vermont
",43.9817,-73.0156,1C,,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Bread%20Loaf/BLSE%20VT%20B3.jpg,
BL4,Bread Loaf School of English,Bread Loaf Oxford,The Bread Loaf campus in England is based at Lincoln College and is centrally situated within the university and city of Oxford. The Bread Loaf Oxford program enrolls approximately 85 students and offers a curriculum centered on British literature.,85,6,no,no,1960,http://www.middlebury.edu/blse/campuses/ox,"Oxford, England",51.7522764,-1.2558243,,,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Bread%20Loaf/BLOX.jpg,
BL5,Bread Loaf School of English,Bread Loaf Santa Fe,"The Bread Loaf campus in New Mexico is located at St. John's College, at the foot of the Sangre de Cristo Mountains in Santa Fe, and enrolls approximately 60 students. Curricular offerings include a special emphasis on Southwestern literature.",60,6,no,no,1970,http://www.middlebury.edu/blse/campuses/nm,"Santa Fe, New Mexico",35.691544,-105.944183,,,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Bread%20Loaf/BLSE%20Santa%20Fe.jpg,
BL6,Bread Loaf School of English,Andover Bread Loaf,"Andover Bread Loaf’s mission is to promote literacy and educational revitalization in the most economically disadvantaged school systems and communities around the world, particularly in U.S. urban public schools. ",12,52,no,no,1987,http://www.middlebury.edu/blse/bltn/ablww,"Phillips Academy, Andover",42.6583,-71.1375,,,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Bread%20Loaf/Andover%20BL%20Anniversary.jpg,
BL7,Bread Loaf School of English,Continuing Education,"Students may enroll for one or more summers for continuing graduate education, or they may pursue a full program of study leading to the Master of Arts or Master of Letters degrees in English.",300,6,no,yes,1999,http://www.middlebury.edu/blse,"Bread Loaf, Vermont
",43.9817,-73.0156,,,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Bread%20Loaf/BLSE%20MA%20ML.jpg,
BL8,Bread Loaf School of English,Bread Loaf Teacher's Network,"The Bread Loaf Teacher Network (BLTN) is a network of teachers educated at Bread Loaf and supported during the academic year by Bread Loaf staff and faculty. It encourages year-round collaboration among Bread Loaf teachers, faculty, and their students on innovative online projects.",8000,52,no,no,1982,http://www.middlebury.edu/blse/bltn,online,43.997783,-73.17829,,,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Bread%20Loaf/BLTN.jpg,lat long added
BL9,Bread Loaf School of English,Bread Loaf Writers' Conferences,"The Bread Loaf Writers' Conferences offer programs that are part of a tradition that has made Bread Loaf one of America's most valuable literary institutions. Its workshops, lectures, and classes introduce participants to rigorous practical and theoretical approaches to the craft of writing.",300,,no,no,,http://www.middlebury.edu/bread-loaf-conferences,"Bread Loaf, Vermont
",43.9817,-73.0156,2A,"Scholarships for College students to attend BLWC, Orion EWC, or Translators' Conference",http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Bread%20Loaf/BLWC.jpg,
BW1,Bread Loaf Writers' Conference,Bread Loaf Writers' Conference,"Bread Loaf Writers’ Conference, founded in 1926 and boasting a rich literary and intellectual tradition, gathers together emerging writers to work closely with a diverse and talented faculty for 10 days in August.",,2,no,no,,http://www.middlebury.edu/bread-loaf-conferences/bl_writers,"Bread Loaf, Vermont
",43.9817,-73.0156,,,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Bread%20Loaf/BLWC%20icon.jpg,
